ID,latitude,longitude,State,Median.electricity.bill.by.State,Habitual.electricity.bill.by.State,O,C,E,A,N,Exploratory.Tasks,Challenges,Social.Competition,Social.Network,Unlockable.Content
5845,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.58,0.42,0.74,0.84,Yes,No,No,Yes,Yes
5846,25.42,-101, Coahuila,220,127.5-325 $ MXN,0.84,0.58,0.62,0.74,0.76,Yes,No,No,Yes,Yes
5847,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.92,0.58,0.84,0.9,0.56,Yes,No,Yes,Yes,No
5848,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.94,0.66,0.88,0.86,0.28,Yes,No,Yes,Yes,No
5849,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,1,0.72,0.7,0.72,0.88,Yes,Yes,Yes,Yes,Yes
5850,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.6,0.7,0.86,0.9,Yes,No,Yes,Yes,Yes
5851,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.84,0.68,0.38,0.76,0.74,Yes,No,No,Yes,Yes
5852,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.62,0.58,0.74,0.72,Yes,No,No,Yes,Yes
5853,17.88,-91.47, Tabasco,250,148.75-420.5 $ MXN,0.74,0.66,0.76,0.74,0.74,Yes,No,Yes,Yes,Yes
5854,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.76,0.36,0.46,0.72,Yes,Yes,No,No,Yes
5855,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.64,0.52,0.84,0.52,Yes,No,No,Yes,No
5856,22.88,-102.62, Zacatecas,103.5,59.25-145 $ MXN,0.76,0.74,0.58,0.62,0.66,Yes,Yes,No,No,No
5857,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.46,0.52,0.7,0.6,No,No,No,Yes,No
5858,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.64,0.56,0.52,0.74,No,No,No,No,Yes
5859,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.96,0.62,0.94,0.92,0.8,Yes,No,Yes,Yes,Yes
5860,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.84,0.88,0.78,0.48,Yes,Yes,Yes,Yes,No
5861,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.4,0.66,0.76,0.9,No,No,No,Yes,Yes
5862,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.72,0.58,0.5,0.6,0.78,Yes,No,No,No,Yes
5863,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.66,0.78,0.78,0.66,Yes,No,Yes,Yes,No
5864,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.6,0.24,0.68,0.56,Yes,No,No,No,No
5865,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.52,0.64,0.82,0.52,Yes,No,No,Yes,No
5866,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.72,0.62,0.76,0.72,0.68,Yes,No,Yes,Yes,No
5867,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.64,0.44,0.42,0.76,0.58,No,No,No,Yes,No
5868,17.88,-91.47, Tabasco,250,148.75-420.5 $ MXN,0.64,0.44,0.72,0.74,0.5,No,No,Yes,Yes,No
5869,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.78,0.48,0.82,0.66,Yes,Yes,No,Yes,No
5870,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.6,0.84,0.6,0.48,Yes,No,Yes,No,No
5871,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.58,0.7,0.84,0.6,Yes,No,Yes,Yes,No
5873,25.55,-103.43, Coahuila,220,127.5-325 $ MXN,0.72,0.6,0.66,0.62,0.66,Yes,No,No,No,No
5874,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.58,0.6,0.32,0.56,0.92,No,No,No,No,Yes
5875,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.6,0.36,0.78,0.62,Yes,No,No,Yes,No
5879,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.64,0.48,0.84,0.56,Yes,No,No,Yes,No
5880,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.62,0.62,0.62,0.76,Yes,No,No,No,Yes
5881,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.6,0.54,0.7,0.66,Yes,No,No,Yes,No
5883,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.72,0.5,0.68,0.88,Yes,Yes,No,No,Yes
5884,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.44,0.38,0.2,0.74,0.76,No,No,No,Yes,Yes
5885,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.68,0.56,0.84,0.88,Yes,No,No,Yes,Yes
5886,19.48,-99.24, Estado de Mexico,143,63.5-249.5 $ MXN,0.82,0.8,0.64,0.8,0.42,Yes,Yes,No,Yes,No
5887,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.6,0.6,0.7,0.72,No,No,No,Yes,Yes
